X-axis,5,10,15,20,25
Social Welfare
Only DIBR,61.11828815233823,56.283587171956945,62.615409009546894,53.80890449878221,56.79656585421753
Only D2D,57.44571272404905,54.43954398170606,62.71135516521845,47.73252437492809,52.5751731988242
SE,57.09180220542932,55.57440238965272,54.71162507854875,46.19186706662248,45.50929966744399
TCATB-P,83.57308718135366,83.18551797531627,83.76732294024582,79.06067776303263,79.36824075085461
TCATB,86.77311217564777,84.9721392705205,84.57816863890139,79.52335319693506,79.38901115621596
Sum Rate
Only DIBR,35.11322447664254,31.581236684676707,33.13649844553147,32.42526598314624,35.42953187164737
Only D2D,29.228272595504542,28.075072606393388,28.134440288264198,28.5452420610328,27.971605221524772
SE,28.002500108791985,27.28419192793686,27.50448510811021,27.91480205846197,28.057335400999023
TCATB-P,28.566945288836155,28.50837596130483,27.88098965590609,28.00732854920755,27.395540906020443
TCATB,28.177782753923573,28.269619367363255,27.659555530056053,27.885052658280067,27.33211227325786
Average view satisfaction
Only DIBR,5.025965413210402,5.02474066378785,5.343365449461787,4.585548961855463,4.640758018234429
Only D2D,9.574285454008178,9.073257330284344,10.451892527536408,7.9554207291546835,8.7625288664707
SE,4.887009968702875,4.925299679723923,5.257613563164598,4.523511159227232,4.423119168886712
TCATB-P,7.747225569834664,7.710967124976159,8.141052048763143,7.838271534137429,7.705425856608599
TCATB,7.466915835031374,7.537453262009137,8.141125123191413,7.820330951824436,7.707314075277812
